Date of Accident,Aircraft Type,Aircraft Registration,Operator,Deaths,Location,Country,Category,Year
1919-08-02,caproni ca.48,Not Reported,caproni,14.0,verona,italy,a1,1919
1919-08-11,felixstowe fury,N123,raf,1.0,near felixtowe rnas,u.k.,a1,1919
1920-02-23,handley page o/7,G-EANV,handley page transport,0.0,"acadia siding, c...",south africa,a1,1920
1920-02-25,handley page o/400,G-EAMC,handley page transport,0.0,near el shereik,sudan,a1,1920
1920-06-30,handley page o/400,G-EAKE,handley page transport,0.0,ãstanã¥,sweden,a1,1920
1920-12-14,handley page o/400,G-EAMA,handley page transport,4.0,golders green,u.k.,a1,1920
1921-01-15,aeromarine 75,Not Reported,aeromarine airways,0.0,havana harbour,cuba,o1,1921
1921-03-02,handley page o/7,G-IAAC,hp indo-burmese transport,0.0,meerut,india,o1,1921
1921-03-04,caproni ca.60 noviplano,Not Reported,caproni,0.0,lago maggiore,italy,a1,1921
1921-08-26,farman f.60 goliath,O-BLAN,sneta,2.0,near calais [the engl...,france,a1,1921
1921-09-27,farman f.60 goliath,O-BRUN,sneta,0.0,evere airfield,belgium,o1,1921
1921-09-27,farman f.60 goliath,O-BLEU,sneta,0.0,evere airfield,belgium,o1,1921
1921-12-30,handley page o/10,G-EATM,handley page transport,0.0,berck-sur-mer,france,u1,1921
1922-01-22,handley page o/10,G-EATN,handley page transport,0.0,near senlis,france,a1,1922
1922-03-31,handley page o/7,Not Reported,chinese government,14.0,near beijing-nanyuan ...,china,a1,1922
1922-04-07,farman f.60 goliath,F-GEAD,grands express aã©riens,5.0,thieuloy-saint-a...,france,a1,1922
1923-01-13,aeromarine 75,Not Reported,aeromarine airways,4.0,"near havana, cuba",atlantic ocean,a1,1923
1923-05-14,farman f.60 goliath,F-AEBY,air union,6.0,"monsures, somme",france,a1,1923
1923-06-25,farman f.60 goliath,F-AEDL,air union,0.0,near ãtaples,france,a1,1923
1923-07-10,handley page w.8,G-EAPJ,handley page transport,0.0,poix,france,a1,1923
1923-07-15,farman f.60 goliath,F-AEEE,compagnie aã©rienne franã§aise,0.0,near valenciennes,france,a1,1923
1923-08-27,farman f.60 goliath,F-AECB,air union,1.0,"east malling, kent",u.k.,a1,1923
1923-12-03,farman f.60 goliath,F-AEIF,air union,0.0,"littlestone, kent",u.k.,a1,1923
1924-01-22,farman f.60 goliath,F-GEAO,air union,0.0,london-croydon a...,u.k.,a1,1924
1924-08-06,farman f.60 goliath,F-ADDT,air union,0.0,"golden green, ne...",u.k.,a2,1924
1924-08-24,farman f.61 goliath,F-ADFP,sgta,0.0,near amsterdam-schiph...,netherlands,a1,1924
1925-10-16,farman f.60 goliath,F-HMFU,air union,3.0,"wadhurst, east s...",u.k.,a1,1925
1925-11-14,farman f.60 goliath,F-FHMY,air union,0.0,near boulogne [englis...,france,a2,1925
1926-08-18,blã©riot 155,F-AIEB,air union,4.0,"hurst, near ashf...",u.k.,a1,1926
1926-10-02,blã©riot 155,F-AICQ,air union,7.0,"leigh, kent",u.k.,a1,1926
1926-10-21,handley page w.10,G-EBMS,imperial airways,0.0,english channel,u.k.,a1,1926
1926-11-20,junkers g.24,D-944,deutsche lufthansa,0.0,kã¶nigsberg,germany,a1,1926
1927-05-05,farman f.61 goliath,F-ADFN,sgta,2.0,atlantic ocean,atlantic ocean,a1,1927
1927-08-22,fokker f.viii,H-NADU,klm,1.0,"st. julians, sev...",u.k.,a1,1927
1928-02-15,handley page w.8b,G-EBBG,imperial airways,0.0,near abbeville,france,a1,1928
1928-03-11,farman f.60 goliath,F-AEFC,air union,2.0,"near folkestone, kent...",u.k.,a1,1928
1928-04-11,fokker f.viii,H-NAEE,klm,0.0,nigtevecht,netherlands,a1,1928
1928-04-19,junkers g.24,D-946,deutsche lufthansa,0.0,spaichingen,germany,a1,1928
1928-05-12,ford 4-at-a tri-motor,NC1492,ford air freight lines,2.0,"dearborn, mi",usa,a1,1928
1928-05-23,farman f.63bis goliath,F-AEIE,sgta,3.0,near kã¶ln-butzweiler...,germany,a1,1928
1928-08-25,ford 4-at-b tri-motor,G-CATX,british columbia airways,7.0,"near port townsend, wa",usa,a1,1928
1928-09-25,junkers g.31de,D-1427,deutsche lufthansa,0.0,arnsberg,germany,a1,1928
1928-10-13,ford 4-at-a tri-motor,NC880,stout air services,0.0,"detroit, mi",usa,a1,1928
1928-11-23,ford 4-at-b tri-motor,NC7687,spokane airways,3.0,"moran prairie, s...",usa,a1,1928
1928-12-01,ford 4-at-c tri-motor,NC7862,sunbeam air transport co.,5.0,"near spur, tx",usa,a1,1928
1928-12-11,junkers g.31fi,D-1473,deutsche lufthansa,3.0,letzlingen,germany,a1,1928
1928-12-22,ford 4-at-a tri-motor,NC3443,texaco,0.0,"floresville, tx",usa,a1,1928
1929-01-16,ford 4-at-a tri-motor,NC1076,stout air services,0.0,"near toledo, oh",usa,a1,1929
1929-03-17,ford 4-at-b tri-motor,NC7683,colonial western airlines,14.0,"near newark airport, ...",usa,a1,1929
1929-03-19,ford 5-at-b tri-motor,NC9674,ford motor company,4.0,"dearborn, mi",usa,a1,1929
1929-04-12,dornier do r4 superwal,I-RIDE,sana,0.0,near napoli,italy,o1,1929
1929-04-21,ford 5-at-b tri-motor,NC9636,maddux airlines,0.0,near san diego airpor...,usa,a1,1929
1929-05-16,vickers 170 vanguard,G-EBCP,vickers-armstrongs,2.0,shepperton,u.k.,a1,1929
1929-05-19,farman f.63bis goliath,F-GEAI,air union,0.0,"paddock wood, kent",u.k.,a1,1929
1929-06-02,fokker f.10a,NC393E,western air express,0.0,"wichita, ks",usa,o1,1929
1929-06-13,fokker f.10a,NC9700,pan am,2.0,santiago airport...,cuba,a1,1929
1929-06-17,handley page w.10,G-EBMT,imperial airways,7.0,near dungeness,u.k.,a1,1929
1929-06-24,ford 5-at-a tri-motor,NC7416,northwest airways,1.0,"saint paul, mn",usa,a1,1929
1929-08-29,junkers g.24li,SE-AAF,ab aerotransport,0.0,emsland,germany,a1,1929
1929-09-03,ford 5-at-b tri-motor,NC9649,transcontinental air transport - tat,8.0,"near gallup, nm",usa,a1,1929
1929-09-06,dh.66 hercules,G-EBMZ,imperial airways,3.0,jask airport,iran,a1,1929
1929-09-10,rohrbach ro x romar i,D-1734,deutsche lufthansa,0.0,near grã¶mitz,germany,a1,1929
1929-10-19,sabca (handley page) w.8b,OO-AHK,sabena,0.0,edegem,belgium,a1,1929
1929-10-26,short s.8/1 calcutta,G-AADN,imperial airways,7.0,near la spezia,italy,a1,1929
1929-11-06,junkers g.24bi,D-903,deutsche lufthansa,7.0,"near godstone, surrey",u.k.,a1,1929
1929-11-18,rohrbach ro x romar i,D-1693,deutsche lufthansa,0.0,lã¼beck-travemã¼...,germany,a1,1929
1929-11-27,fokker f.32,NX124M,fokker aircraft corp. of america,0.0,near hempstead-roosev...,usa,a1,1929
